like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
2.1344361,0.0001846693,0.5127672,0.0006163861,0.2829757,0.49369583,0.37099838,0.099536054,2.1344361,0.0
3.3588176,0.00014498025,0.9378572,0.0011612547,0.78666836,0.58289015,0.27692106,0.059516024,3.3588176,0.0
3.3467758,0.00013306293,0.70262265,0.001380996,0.8950871,0.5701672,0.31988162,0.0786632,3.3467758,0.0
1.5133625,7.4784446e-05,0.44128758,0.0008267792,0.6438368,0.5646653,0.26454815,0.09902706,1.5133625,0.0
1.3258569,0.00017564456,0.8375615,0.0016931455,0.5759461,0.48618093,0.2785294,0.09669188,1.3258569,0.0
2.6245327,0.00015261232,0.5215725,0.0018006442,0.74532634,0.5944866,0.4404426,0.066878036,2.6245327,0.0
1.2127278,6.288929e-05,0.35435772,0.0016181205,0.60595006,0.54334885,0.38517693,0.09896516,1.2127278,0.0
1.5673441,8.7141954e-05,0.36551103,0.0012673902,0.39521712,0.51658815,0.4313305,0.06810071,1.5673441,0.0
2.9455788,0.0001308017,0.32888588,0.0018111031,0.66794664,0.47114548,0.28839535,0.06083634,2.9455788,0.0
2.3249075,8.7278044e-05,0.7898888,0.0015885052,0.45059857,0.46985745,0.32093853,0.050762314,2.3249075,0.0
2.2475238,8.9704416e-05,0.9942109,0.001890661,0.7291356,0.5837654,0.28685465,0.082636155,2.2475238,0.0
2.405711,0.00014402055,0.33292127,0.0002689256,0.7368223,0.47904763,0.30814138,0.07909907,2.405711,0.0
2.0934498,9.981691e-05,0.72201157,0.0003895798,0.39568323,0.4808604,0.32347062,0.051421776,2.0934498,0.0
2.316153,4.5139263e-05,0.49482644,0.0014325588,0.5693123,0.47587934,0.27674666,0.06724269,2.316153,0.0
1.9548213,3.1222185e-05,0.17674623,0.0018942667,0.43442944,0.533958,0.44495028,0.051558107,1.9548213,0.0
1.6827478,5.2261123e-05,0.5044027,0.0018696878,0.30341807,0.52698946,0.3653478,0.059106972,1.6827478,0.0
2.4739342,0.00012937622,0.59385896,0.0015793273,0.46936476,0.573353,0.29231218,0.051130623,2.4739342,0.0
1.6412842,0.00015114459,0.32692307,0.000525558,0.43349236,0.5974738,0.44759262,0.06348916,1.6412842,0.0
1.3448975,0.00011244846,0.28267902,0.0010045148,0.49661475,0.56439275,0.3760158,0.081544,1.3448975,0.0
2.099637,0.00018113783,0.7968472,0.00072971947,0.45281294,0.46736002,0.30361816,0.057399943,2.099637,0.0
